Mol_Weight	AlogP	PSA	HBA	HBD	QED_Weighted	Arom_Rings	Mol_Species	Smiles
273.31	3.62	55.23	4	1	0.64	2	3	CC1=CC2=C(C(=S)N1)C(=O)O/C/2=C\c3oc(C)cc3
278.36	4.69	34.15	3	1	0.75	3	3	CCOc1ccccc1Nc2cc(C)nc3ccccc23
278.33	2.35	74.6	3	2	0.84	2	2	O[C@H](C(c1ccccc1)S(=O)(=O)O)c2ccccc2
289.46	4.62	12.47	2	0	0.52	1	1	CCCCN(CCCC)CCOC\C=C\c1ccccc1
253.3	0.17	67.33	5	1	0.83	1	3	CCCCN1C(=O)NC(=CC1=O)N2CCOCC2
293.42	0.49	57.42	6	1	0.88	1	1	CC1CCN(CC(O)CN2CCn3c(C)nnc3C2)CC1
220.28	3.48	38.91	2	1	0.68	3	3	Nc1nc(cc2ccccc12)c3ccccc3
238.32	3.59	25.78	3	1	0.66	3	0	Sc1nnc(c2ccccc2)c3ccccc13
231.25	2.94	67.16	3	2	0.83	2	3	Cc1onc(NC(=O)Nc2ccc(C)cc2)c1
291.31	2.72	82.76	6	1	0.59	4	3	Nc1ccc(Cn2cnc3c(ncnc23)c4occc4)cc1
267.21	2.63	90.52	4	3	0.78	2	3	Nc1[nH]nc(Nc2ccc(cc2)C(F)(F)F)c1C#N
299.36	2.28	96.16	5	3	0.51	3	3	Cc1nc(N)sc1C(=O)N\N=C\c2c[nH]c3ccccc23
219.69	2.13	41.82	4	1	0.48	1	3	C\C(=N\OCCO)\c1ccc(Cl)s1
277.37	3.62	46.25	2	2	0.76	3	1	NC[C@H]([C@@H](O)c1ccccc1)c2ccc3ccccc3c2
280.33	3.13	59.29	4	1	0.8	3	3	CCCC(=O)Nc1cccc(c1)c2cn3cccnc3n2
288.35	2.09	71.11	4	1	0.86	2	3	CC(C)COc1ncnc2[nH]cc(\C=C\C(=O)N(C)C)c12
247.26	-0.38	110.08	7	3	0.68	2	3	Nc1ncnc2c1ncn2\C=C/3\C[C@H]3[C@H](O)CO
297.33	2.67	81.15	4	2	0.38	1	3	[Na+].CC1=CCCC(C)(C)C1\C=C\c2onc(c2)C(=O)[N-]N
297.75	3.24	82	3	2	0.76	3	3	NC(=O)c1c(N)nc2ccc(Cl)cc2c1c3ccccc3
290.12	2.89	50.94	4	1	0.75	3	1	Oc1ccc2ncn(c3ccccc3Br)c2n1
275.2	3.23	38.91	3	1	0.87	2	3	Cl.Cc1sc(CN)nc1c2ccc(Cl)cc2
263.34	3.54	43.1	5	0	0.71	3	3	CCC1=Nc2scc(c3cccs3)c2C(=O)O1
256.19	3.73	12.03	1	1	0.76	1	1	CCCCCNCc1cccc(Br)c1
293.32	0.21	100.63	7	3	0.73	2	3	C[C@]1(CO)O[C@@H](n2ccc3cncnc23)[C@](C)(O)[C@]1(C)O
285.26	2.7	38.33	2	1	0.92	1	3	COc1ccc2CC=C(CCNC(=O)C(F)(F)F)c2c1
291.31	3.95	55.23	3	1	0.61	4	3	COc1ccc2[nH]c3C(=O)OC(=Cc3c2c1)c4ccccc4
288.37	2.74	42.43	4	0	0.87	2	3	CCN1CCc2nc(COc3ccccc3)sc2C1=O
289.38	2.87	38.77	4	0	0.8	1	1	CCOc1ccc(cc1)C(=O)OC2CC3CCC(C2)N3C
297.44	3.57	12.47	2	0	0.59	1	1	C(CC1CCN(CC2CC2)CC1)OCC#Cc3ccccc3
